"id","tradingName","stockCode","lastPrice","roe","marketcap","totalRev","pe","yieldPercent","sector","gtiScore","oneYearChange"
862,"G K Goh","G41",0.9,-5.6,282.855,-38.828,NULL,2.22,"Banking & Investment Services",70,-53.56
863,"Gallant Venture","5IG",0.129,-5.88,704.805,148.31,NULL,NULL,"Automobiles & Auto Parts",55,6.52
864,"GCCP","41T",0.012,-11.21,16.571,2.61,NULL,NULL,"Mineral Resources",70,85.06
865,"GDS Global","5VP",0.053,-18.97,5.936,13.664,NULL,NULL,"Cyclical Consumer Products",75,5.18
866,"Genting Sing","G13",1,2.29,12094.026,1175.643,67.48,2,"Cyclical Consumer Services",88,0.46
867,"Geo Energy Res","RE4",0.32,NULL,454.679,1061.711,1.51,31.25,"Energy - Fossil Fuels",72,73.9
868,"GHY Culture","XJB",0.405,-0.66,434.886,60.159,NULL,0.25,"Cyclical Consumer Services",80,-55.01
869,"Global Inv","B73",0.129,-9.49,222.376,-22.451,NULL,6.2,"Collective Investments",96,-148.35
870,"Global Palm Res","BLW",0.16,8.69,41.862,46.918,6.71,10.31,"Food & Beverages",51,37.11
871,"Global Testing","AYN",1.36,36.27,47.877,62.039,2.84,14.71,"Technology Equipment",73,71.29
872,"Golden Agri-Res","E5H",0.26,15.2,3337.763,14868.986,3.49,7.22,"Food & Beverages",85,37.79
873,"Golden Energy","AUE",0.8,57.6,2110.48,4637.605,4.13,NULL,"Energy - Fossil Fuels",70,154.31
874,"Goodland","5PC",0.142,5.41,55.957,37.077,4.87,4.45,"Real Estate",61,44.97
875,"GP Industries","G20",0.635,8.91,331.063,1199.293,7.56,4.72,"Industrial Goods",75,-0.49
876,"Grand Banks","G50",0.34,6.46,62.776,75.177,15.75,1.47,"Cyclical Consumer Products",71,-21.74
877,"Grand Venture","JLB",0.54,17.51,183.216,129.78,10.94,1.48,"Industrial Goods",57,47.43
878,"Great Eastern","G07",18.98,9.91,8983.596,14713.1,9.52,3.42,"Insurance",103,-37.9
879,"Green Build","Y06",0.017,-211.79,4.626,2.99,NULL,NULL,"Industrial & Commercial Services",56,NULL
880,"GRP","BLU",0.078,NULL,15.109,NULL,NULL,NULL,"Automobiles & Auto Parts",66,NULL
881,"GS Hldg","43A",0.086,NULL,16.253,NULL,NULL,NULL,"Industrial & Commercial Services",37,NULL
882,"GSH","BDX",0.16,-4.22,316.326,97.881,NULL,NULL,"Industrial & Commercial Services",69,3.94
883,"GSS Energy","41F",0.042,7.07,26.468,125.953,5.17,NULL,"Industrial Goods",65,3.27
884,"Guoan Intl","G11",0.011,-15.3,65.463,28.508,NULL,NULL,"Technology Equipment",NULL,8.9
885,"GuocoLand","F17",1.64,8.09,1940.732,1174.35,4.98,3.66,"Real Estate",89,19
886,"H2G Green","5AI",0.022,-12.03,24.182,11.438,NULL,NULL,"Cyclical Consumer Products",63,87.27
887,"Hafary","5VS",0.21,22.24,90.415,141.019,5.36,7.14,"Cyclical Consumer Products",64,25.11
888,"Hai Leck","BLH",0.42,5.64,95.169,81.285,13.62,9.52,"Energy - Fossil Fuels",58,9.4
889,"Halcyon Agri","5VJ",0.41,0.62,653.955,3444.903,116.29,NULL,"Automobiles & Auto Parts",85,24.32
890,"Hatten Land","PH0",0.02,-162.34,37.142,19.571,NULL,NULL,"Real Estate",35,280.33
891,"Haw Par","H02",10.8,4.24,2390.776,170.874,17.79,2.78,"Pharmaceuticals & Medical Research",96,78.01
892,"HC Surgical","1B1",0.39,37.14,59.044,19.02,15.32,5.64,"Healthcare Services",70,-16.53
893,"HealthBank","40B",0.144,-7.49,13.579,0.046,NULL,NULL,"Cyclical Consumer Services",70,342.71
894,"Healthway Med","5NG",0.037,6.76,167.816,153.5,12.98,NULL,"Healthcare Services",83,29.94
895,"Heatec Jietong","5OR",0.022,-25.67,4.505,18.098,NULL,NULL,"Cyclical Consumer Products",76,-30.78
896,"Heeton","5DP",0.275,4.05,134.127,61.404,7.53,1.36,"Real Estate",55,97.87
897,"Hengyang Petro","5PD",0.185,-0.28,37.64,0,NULL,NULL,"Energy - Fossil Fuels",52,NULL
898,"HG Metal","BTG",0.35,11.75,45.714,160.996,3.47,11.43,"Mineral Resources",55,38.78
899,"HGH","5GZ",0.013,-4.33,23.151,22.828,NULL,NULL,"Mineral Resources",56,81.9
900,"Hiap Hoe","5JK",0.76,1.55,360.664,97.009,30.93,0.66,"Real Estate",74,18.34
901,"Hiap Tong","5PO",0.074,9.09,22.797,85.224,3.08,NULL,"Banking & Investment Services",69,22.97
902,"HL Global Ent","AVX",0.25,-1.78,23.479,2.458,NULL,NULL,"Cyclical Consumer Services",76,-47.61
903,"Ho Bee Land","H13",2.37,9.78,1666.911,368.683,4.2,4.22,"Real Estate",68,38.8
904,"Hock Lian Seng","J2T",0.285,11.2,145.95,147.73,5.93,4.39,"Industrial & Commercial Services",68,44.22
905,"Hoe Leong","H20",0.003,8.21,41.252,44.949,75,NULL,"Industrial Goods",64,NULL
906,"Hong Fok","H30",0.97,2.16,844.494,103.349,15.03,1.03,"Real Estate",76,29.84
907,"Hong Lai Huat","CTO",0.07,2.88,36.249,5.635,5.07,2.86,"Real Estate",54,-59.11
908,"Hong Leong Asia","H22",0.695,6.57,519.845,4190.424,8.4,2.88,"Automobiles & Auto Parts",100,-19.31
909,"Hong Leong Fin","S41",2.41,4.36,1080.011,243.837,8.29,4.98,"Banking & Investment Services",85,-4.65
910,"HongkongLand USD","H78",4.84,2.37,10778.796,2392.5,13.81,4.55,"Real Estate",NULL,10.77
911,"Hor Kew","BBP",0.255,6.63,13.277,58.841,3.09,NULL,"Industrial & Commercial Services",33,-6.28
912,"Hosen","5EV",0.053,5.52,17.22,68.146,9.69,3.77,"Food & Drug Retailing",64,1.18
913,"Hotel Grand","H18",0.895,0.88,661.786,121.548,57.45,1.12,"Cyclical Consumer Services",54,8.82
914,"Hotel Royal","H12",2,-2.16,241.92,31.694,NULL,1.24,"Cyclical Consumer Services",77,28.85
915,"Hotung Inv","BLS",1.81,5.3,189.436,28.801,12.21,12.87,"Banking & Investment Services",40,-52.67
