Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
HPL,H15,3.55,0.88,1852.444,424.081,146.69,1.13,Cyclical Consumer Services,50,49.52
HRnetGroup,CHZ,0.835,17.93,844.525,629.603,13.05,4.35,Industrial & Commercial Services,67,26.48
Huationg Global,41B,0.087,10.74,15.42,145.934,1.88,,Industrial & Commercial Services,69,-21.16
Hyphens Pharma,1J5,0.345,13.45,106.528,125.883,15.19,1.94,Pharmaceuticals & Medical Research,88,
ICP Ltd,5I4,0.011,0.84,34.229,7.368,157.14,,Cyclical Consumer Services,60,59.31
IFAST,AIY,5.58,7.07,1636.053,212.419,133.4,0.86,Financial Technology (Fintech) & Infrastructure,91,1.37
IFS Capital,I49,0.181,3.64,68.051,44.003,10.68,4.31,Banking & Investment Services,56,11.66
IHH,Q0F,1.81,6.82,51955.656,17602.588,29.91,1.02,Healthcare Services,,7.16
Imperium Crown,5HT,0.01,-167.58,7.9,1.854,,,Real Estate,65,-23.67
Inch Kenneth,I4R,0,-1.32,172.508,28.195,,,Cyclical Consumer Services,,4.56
Incredible,RDR,0.002,-66.88,5.987,11.621,,,Technology Equipment,74,-36.32
Indofood Agri,5JS,0.31,7.39,448.813,1648.959,5.76,2.58,Food & Beverages,63,13.37
InnoTek,M14,0.51,1.42,125.795,173.72,46.03,3.92,Technology Equipment,77,-7.49
Interra Resource,5GI,0.032,24.83,20.976,28.31,2.07,,Energy - Fossil Fuels,57,151.78
Intl Cement,KUO,0.024,10.77,137.634,188.809,5.65,,Mineral Resources,61,15.5
Intraco,I06,0.29,-2.98,32.98,195.966,,,Industrial & Commercial Services,65,4.56
IPC Corp,AZA,0.11,-11.55,9.382,3.736,,,Cyclical Consumer Services,57,-39.85
IPS Securex,42N,0.027,2.99,13.122,15.768,44.26,,Technology Equipment,67,81.4
ISDN,I07,0.58,12.51,254.41,413.685,10.42,2.5,Industrial Goods,79,0.45
ISEC,40T,0.315,15.78,180.253,58.839,14.95,4.86,Healthcare Services,71,57.52
Isetan,I15,3.03,1.29,124.988,90.263,90.26,0.99,Retailers,59,10.72
ISOTeam,5WF,0.09,-33.58,31.353,99.878,,,Industrial & Commercial Services,61,0.9
iWOW Tech,NXR,0.24,40.79,63.214,34.077,12.04,1.5,Technology Equipment,,-18.24
IX Biopharma,42C,0.124,-29.24,95.021,14.39,,,Pharmaceuticals & Medical Research,72,724.64
Jackspeed,J17,0.131,,39.26,0,,,Automobiles & Auto Parts,67,
Jadason,J03,0.017,-49.95,12.343,45.147,,,Technology Equipment,58,18.18
Japan Foods,5OI,0.425,23.48,74.135,71.374,10.28,5.53,Cyclical Consumer Services,79,32.95
Japfa,UD2,0.32,3.74,661.575,6615.086,9.62,3.13,Food & Beverages,70,11.33
Jardine C&C,C07,28.89,12.92,11418.376,26616.02,9.35,4.35,Automobiles & Auto Parts,96,34.53
Jason Marine,5PF,0.16,0.49,16.96,31.079,150.94,3.91,Technology Equipment,67,-1.25
Jasper Inv,FQ7,0.002,,8.708,0,,,Energy - Fossil Fuels,56,
Jawala,1J7,0.092,1.89,10.9,6.042,50.14,3.26,Applied Resources,57,-41.6
JB Foods,BEW,0.47,10.31,142.504,646.892,6.36,3.19,Food & Beverages,63,16.46
JEP,1J4,0.365,17,151.09,90.982,13.05,,Industrial & Commercial Services,58,50.66
JES Intl,EG0,0.026,,30.816,0,,,Industrial Goods,12,
Jiutian Chemical,C8R,0.08,62.17,159.076,531.073,1.48,10.88,Chemicals,57,74.36
